zone_id,calibration_samples,train_samples,local_fit_valid,fallback_level,beta_1,beta_2,alfa_1,alfa_2,width_n_total,width_n_used,width_r2_log,width_rmse_log,depth_n_total,depth_n_used,depth_r2_log,depth_rmse_log
1,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
2,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
3,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
4,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
5,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
8,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
9,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
11,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
12,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
13,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
14,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
15,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
16,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
18,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
19,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
20,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
21,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
22,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
24,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
25,2,2,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,2,0,,,2,0,,
26,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
28,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
29,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
30,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
32,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
33,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
34,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
35,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
36,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
37,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
38,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
39,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
42,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
44,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
48,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
50,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
52,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
54,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
59,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
62,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
63,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
64,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
66,1,1,False,1,69.19100368679288,0.09033736817098337,0.12178952076985931,0.3783880907715405,1,0,,,1,0,,
